City,Title,Description,latitude,longitude
Agra,Taj Mahal,"One of the seven wonders of the world, Taj Mahal is located on the banks of River Yamuna in Agra. It was built by the Mughal Emperor Shah Jahan as a memorial for his third wife, Mumtaz Mahal. It also houses the tomb of Shah Jahan himself. Constructed entirely out of white marble in the 17th century, Taj Mahal is one of the most beautiful monuments in the world. Every year visitors numbering more than the entire population of Agra pass through the magnificent gates to catch a glimpse of this breathtaking monument!",27.1745878,78.0420403
Agra,Agra Fort,"Also known as Lal Qila, Fort Rouge or Red Fort of Agra, the Agra Fort is a UNESCO world heritage site. It is situated at a distance of about 2.5km northwest of the famous Taj Mahal. The construction of the massive fort of red sandstone by the banks of Yamuna river was started by emperor Akbar.",27.1801312,78.0173196
Agra,Taj Mahotsav,"Taj Mahotsav is an annual ten-day festival that takes place in Agra. The festival showcases an outstanding variety of art and craft, dance and cuisines of artisans from different regions of India. It is a paradise for food aficionados, children and the appreciators of folk culture.",,
Agra,Fatehpur Sikri,"Located at a distance of 40km from Agra, Fatehpur Sikri is a town in the Agra district and a famous tourist attraction. A city predominantly made of red sandstone, Fatehpur Sikri was founded in 1571 century by Mughal Emperor Akbar. It is essentially a fortified city built by the king and had been the capital of his Empire for fifteen years. Now a UNESCO world heritage site, it is home to Jodha Bai's Palace, Jama Mosque, Buland Darwaza, and Tomb of Salim Chisti among many other famous monuments. Derived from Arab and central Asian tent encampments, the Imperial Complex is a work of pavilions arranged in formal geometry on a piece of land.",27.0947266,77.6696777
Agra,Itimad-ud-daulah's-Tomb,"This tomb nestled on the bank of the river Yamuna was built by Queen Noor Jahan for her parents in the middle of the Persian Garden. It was constructed using yellow marble, with black and white marble inlay, and was hence called the Baby Taj.",27.1929347,78.031038
Agra,Mehtab Bagh,"Located just north to the glorious wonder called the Taj Mahal and overlooking the Agra Fort and Yamuna river on the opposite side, Mehtab Bagh is a rare retreat of natural bliss and one of the most scenic spots in Agra.",27.180031,78.041946
Agra,Shopping in Agra,"Various small shops in Agra sell handicrafts and stone products such as jewelry boxes, and plaques. Leather goods of good quality are also available in the markets. Most products have some dedication to the Taj Mahal.",39.756803,-99.120313
Agra,Akbar's Tomb,"The Tomb of Akbar is an important and iconic Mughal architectural masterpiece, built in 1605 and 1613. It is located at Sikandra, in the suburbs of Agra, on the Mathura road (NH2), 8 km west of the city core. About a km away from the tomb, lies Mariam's Tomb, the tomb of Mariam-uz-Zamani, wife of the Mughal Emperor Akbar and the mother of Jahangir.",24.9469753,86.0006592
Agra,Jama Masjid,"This relatively simple mosque built almost entirely in red sandstone was built by Jahanara, the daughter of Shah Jahan. Seen in itself, this is still an imposing piece of architecture and one of the largest mosques in the country. This is still used as the main mosque in the city.",28.6468075,77.236254
Agra,Chini ka Rauza,"Dedicated to the memory of the Prime Minister of the court, during the reign of the Mughal Emperor Shah Jahan, Chini ka Rauza is a funerary monument situated on the eastern bank of the Yamuna river in Agra.",27.2008766,78.0344347
Agra,Jhangir Mahal,"The residential palace of Jahangir Mahal, stands tall in the Agra Fort complex. Built by Akbar, in the 17th Century, this Red Sandstone marvel is a multi-storeyed palace with a series of courtyards running from north to south, along the eastern fort wall. The palace is located north of Akbari Mahal, another important Mughal marvel that now breathes in its ruins and faces the river Jamuna. One of the most popular tourist places in Agra, the Jahangir Mahal served as a private residence to Akbar’s son and successor, Jahangir.
The Jahangir Mahal is one of the first buildings you would come across when you enter Agra through the Amar Singh Gate.",26.232515,78.169821
Agra,Dolphin Water Park,"Inaugurated in 2002, Dolphin World Water Park is spread over an area of 14 acres and is replete with thrilling slides, roller coasters, water and regular rides etc. Besides, it has an amusement park, a play area for kids, locker room and other facilities.",18.665766,73.761846
Agra,Anguri Bagh,"Centrally situated in the premises of Khas Mahal, Anguri Bagh was built by Mughal Emperor Shah Jahan in 1637. As the name suggests, Khas Mahal (or Aramgah- i - Muqaddasa) was constructed for the emperor as his exalted place of leisure and rest.",27.20993,77.97511
Agra,Taj Museum,"Located inside the Taj Mahal complex, the museum was established in 1982 on the western ends of the Taj Gardens. The tiny but terrific depository is a double-storeyed building with a quadrangle projection outside.",20.312931,77.349121
Agra,Kalakriti Dance Drama Show,"Staging the popular play of Mohobbat-e-Taj, Kalkriti Culture and Convention Centre is a must-visit in Agra. This theatrical performance narrates the tale of the Taj Mahal's origin and is located close to the wonder of India.",32.37467,49.98329
Agra,Wildlife SOS,Wildlife SOS is a non-profit organisation in India that rescues and rehabilitates wild animals and forests. Its Agra Bear Rescue Facility is the largest sloth bear rescue facility in the world housing 130 sloth bears. The Elephant Care and Conservation Centre rescues and rehabilitates abused and captive elephants.,12.8007961,77.5779194
Agra,Mother Teresa's Missionaries Of Charity,"Located on Ajmer Road in Agra, Mother Teresa’s Missionaries of Charity works for the upbringing, well- being and education of the orphaned kids in addition to caring for the elderly and the homeless.",27.1666224,78.0104681
Agra,Friends Gokulam Fun City Water Park,"Friends Gokulam Fun City Water Park is the second largest water park in Agra. Spread over vast acres of land, the water park boasts of a number of slides, roller coasters and fun rides both for adults and kids.",-28.57983,153.27817
Agra,Ram Barat,The Ram Barat is a joyous and one of the most important festivals in Northern India held in September every year. It celebrates the divine marriage ceremony of Lord Rama by taking out his marriage procession and carrying out all the ceremonies related to marriage.,12.65,77.35
Amritsar,Golden Temple,"One of the most spiritual places in India, the Golden Temple, also known as Sri Harmandir Sahib, is the holiest shrine in all of Sikhism. Located right in the heart of Amritsar, the stunning golden architecture of the temple and the daily Langar (community kitchen) attract a large number of visitors and devotees each day. The temple is open to devotees of all faiths and serves over 100,000 people free food from all walks of life.",31.6200226,74.8763966
Amritsar,Wagah Border,"Located at a distance of 28 km from Amritsar, the Wagah Border marks the boundaries between Indian and Pakistani borders, running along the Grand Trunk Road. The Wagah Border Ceremony or the Beating Retreat Ceremony, held every day before sunset, is the prime attraction. This ceremony includes the closing of the international gates and lowering the flags of both countries.",31.6052177,74.5795464
Amritsar,Jallianwala Bagh,"Jallianwala Bagh is a public garden that houses a memorial of national importance that was established by the government of India in 1951 to commemorate the massacre of peaceful celebrators by British forces on April 13, 1919.  Thousands of innocent people were killed on the orders of General Dyer as they gathered for a peaceful celebration of Baisakhi.",31.620576,74.880077
Amritsar,Partition Museum,"The Partition Museum in Amritsar is a museum housing a collection of stories, memoirs, art and artefacts that hold the memory of the time before, during and after the partition of British India. Located at the Town Hall in Amritsar and developed by the Arts and Cultural Heritage Trust (TAACHT), the museum is a part of the newly inaugurated Heritage Street at Amritsar, which begins from the Golden Temple and ends at the Town Hall.",31.6258709,74.8786449
Amritsar,Maharaja Ranjit Singh Museum,"The Maharaja Ranjit Singh Museum is a museum located in Company Bagh, Amritsar.  It served as the summer palace of the first king of the Sikh Empire, Maharaja Ranjit Singh, after whom the museum is named. The museum now provides an insight into the life the Maharaja alongside the history, art and architecture of the Sikh community between the 18th and 19th century.",31.6457368,74.8774158
Amritsar,Harike Wetland,"Harike Wetland & Bird Sanctuary is the largest wetland in North India. This man-made wetland spreads into Tarn Taran Sahib, Ferozepur and Kapurthala in Punjab, making it a famous destination for bird watchers and nature enthusiasts. Tourists can spot up to 7 species of turtles including the endangered Testudines turtle. The previously extinct Indus dolphin was recently seen at Harike Wetland.",31.17,75.2
Amritsar,Akal Takht,"Akal Takht (Throne of the Timeless One) is the highest political and administrative institution of the Sikhs, founded by the sixth Sikh Guru, Guru Hargobind in 1606. Located in the famous Golden Temple complex of Amritsar, the Akal Takht is one of the Five Takhts of the Sikhs. These Takhts are seats of power and authority among the Sikh community, and the place of the Jathedar, the highest spokesmen among them.",31.62085,74.87703
Amritsar,Gobindgarh Fort,"The Gobindgarh Fort is a historical museum and cultural theme park showcasing the history of Punjab and Punjabi culture in all its glory. There are various museums featuring collections of traditional Punjabi attire, household items and even weapons of war from the olden days. The light and laser shows such as Sher E Punjab and Whispering Walls showcasing the life of Maharaja Ranjit Singh and the story of Gobindgarh respectively are quite popular among tourists.",31.6226076,74.8564449
Amritsar,Durgiana Temple,"Durgiana Temple, also known as Lakshmi Narayan Temple, is a Hindu temple located in the city of Amritsar located around 1.6 Km from the Golden Temple. It bears a stark resemblance to the famous Golden Temple while also carrying the same sense of peace, tranquillity and spirituality. Within this historic temple lies a beautiful Sarovar where one can find idols of Goddess Lakshmi and Lord Vishnu floating.",31.6284044,74.8699473
Amritsar,Khalsa College,"Khalsa College is a 124-year-old college in the city of Amritsar, making it a historic educational institution in India. The 300-acre campus has acquired the status of the highest Sikh institute for education with an enriching environment and a progressive outlook towards society. The architectural wonder is built on the same location that Guru Hargobind won his very first battle.",22.7140572,75.8392101
Amritsar,Mata Lal Devi Temple,Mata Lal Devi Temple popularly known as Sheesh Mahal of Amritsar is famous among the Hindu pilgrims for its miraculous powers. The temple is dedicated to the female saint Lal Devi and is considered a miniature dimension of the popular Vaishno Devi temple in Jammu.,28.709211,77.103372
Amritsar,Street Food,"Amritsar is renowned for its delectable street food, offering a gastronomic journey that tantalizes taste buds. The city's iconic culinary delights include the world-famous Amritsari Kulcha, succulent Tandoori Chicken, and the irresistible aroma of jalebis and lassi, creating an unparalleled experience for food enthusiasts and visitors alike.",41.036568,-71.944176
Amritsar,Guru Ke Mahal,"Housing the Granth Sahib and their gurus, Guru Ke Mahal was founded by Guru Ram Das in 1573 as a little cottage that went on to shelter the great gurus of the Sikhs. Gurudwara Guru Ke Mahal is a humble hut situated at the main street of Guru Bazaar near the Golden Temple in the holy city of Ramdaspur (now known as Amritsar).",13.7723455,78.7906738
Amritsar,Gurudwara Chheharta Sahib,"Gurudwara Chheharta Sahib, named after a well which was dug by Guru Arjan Dev for the birth of his son. Although the well is now covered up, the water is usually pumped into the main tank of the Gurudwara. The water was so abundant that six Cheheharta (Persian wheels) were installed around the well to draw water faster. The gurudwara’s lotus dome encloses the square sanctum in the middle of the diwan hall.",31.61898,74.79453
Amritsar,Hall Bazaar Amritsar,"Offering electronic items, ornaments, best quality books, handicrafts and ready-made garments, Hall Bazaar is famous for its Mughal style gate, complete with a giant clock with caption ""Amritsar - Sifti Da Ghar"".",31.6296452,74.8806457
Amritsar,Gurudwara Mata Kaulan,"Gurudwara Mata Kaulan is located on the edge of Kaulan reservoir, is named after Kaulan, a believer who was severely punished by the patriarchs, yet it failed to dissuade her.",31.618341,74.876105
Amritsar,Dukh Bhanjani Ber Tree,Dukh Bhanjani Ber Tree which means reliever of pains and afflictions is considered the most sacred tree in Amritsar. It is located inside the Golden Temple complex. Visitors to the Golden Temple take a dip in the holy water next to the tree believing that doing so would cure them of their pain and afflictions.,31.6243231,74.8789041
